#      Nradbin      Nmagbin
          10           8
# outboundRad     minMagBound            Nstar  Completenss
   433.044250      -15.3376751             127  0.976923048    
   635.131592      -15.3376751             155  0.993589759    
   837.218872      -15.3376751             226   1.00000000    
   1039.30615      -15.3376751             277  0.992831528    
   1241.39343      -15.3376751             319  0.993769467    
   1443.48071      -15.3376751             397  0.992500007    
   1645.56799      -15.3376751             460  0.997830808    
   1847.65527      -15.3376751             397  0.997487426    
   2049.74268      -15.3376751             394  0.949397564    
   2886.96167      -15.3376751             418  0.928888917    
   433.044250      -14.9384499             114  0.966101706    
   635.131592      -14.9384499             138   1.00000000    
   837.218872      -14.9384499             208  0.985781968    
   1039.30615      -14.9384499             277  0.982269526    
   1241.39343      -14.9384499             326  0.993902445    
   1443.48071      -14.9384499             395  0.992462337    
   1645.56799      -14.9384499             420   1.00000000    
   1847.65527      -14.9384499             439  0.995464861    
   2049.74268      -14.9384499             440  0.979955435    
   2886.96167      -14.9384499             444  0.956896544    
   433.044250      -14.5392256             132   1.00000000    
   635.131592      -14.5392256             163   1.00000000    
   837.218872      -14.5392256             215  0.995370388    
   1039.30615      -14.5392256             246  0.995951414    
   1241.39343      -14.5392256             314   1.00000000    
   1443.48071      -14.5392256             354   1.00000000    
   1645.56799      -14.5392256             426   1.00000000    
   1847.65527      -14.5392256             426   1.00000000    
   2049.74268      -14.5392256             403  0.992610812    
   2886.96167      -14.5392256             462  0.982978702    
   433.044250      -14.1400003             129   1.00000000    
   635.131592      -14.1400003             140  0.992907822    
   837.218872      -14.1400003             221   1.00000000    
   1039.30615      -14.1400003             295  0.996621609    
   1241.39343      -14.1400003             324  0.993865013    
   1443.48071      -14.1400003             360   1.00000000    
   1645.56799      -14.1400003             414   1.00000000    
   1847.65527      -14.1400003             421   1.00000000    
   2049.74268      -14.1400003             394   1.00000000    
   2886.96167      -14.1400003             437  0.997716904    
   433.044250      -13.4969997             180   1.00000000    
   635.131592      -13.4969997             224   1.00000000    
   837.218872      -13.4969997             311   1.00000000    
   1039.30615      -13.4969997             372   1.00000000    
   1241.39343      -13.4969997             485   1.00000000    
   1443.48071      -13.4969997             570  0.994764388    
   1645.56799      -13.4969997             597  0.996661127    
   1847.65527      -13.4969997             608   1.00000000    
   2049.74268      -13.4969997             592  0.996632993    
   2886.96167      -13.4969997             611  0.998365998    
   433.044250      -12.8540001             190  0.994764388    
   635.131592      -12.8540001             236  0.995780587    
   837.218872      -12.8540001             320   1.00000000    
   1039.30615      -12.8540001             428  0.997668982    
   1241.39343      -12.8540001             520  0.996168554    
   1443.48071      -12.8540001             539  0.992633522    
   1645.56799      -12.8540001             672  0.998514116    
   1847.65527      -12.8540001             699  0.998571455    
   2049.74268      -12.8540001             678  0.998527229    
   2886.96167      -12.8540001             732   1.00000000    
   433.044250      -12.2110004             247   1.00000000    
   635.131592      -12.2110004             234  0.995744705    
   837.218872      -12.2110004             388   1.00000000    
   1039.30615      -12.2110004             466  0.993603408    
   1241.39343      -12.2110004             541  0.998154998    
   1443.48071      -12.2110004             594  0.996644318    
   1645.56799      -12.2110004             744  0.997319043    
   1847.65527      -12.2110004             763  0.997385621    
   2049.74268      -12.2110004             719  0.997226059    
   2886.96167      -12.2110004             825  0.995174885    
   433.044250      -11.5679998             235   1.00000000    
   635.131592      -11.5679998             255  0.988372087    
   837.218872      -11.5679998             368   1.00000000    
   1039.30615      -11.5679998             451  0.995584965    
   1241.39343      -11.5679998             570  0.993031383    
   1443.48071      -11.5679998             716  0.995827556    
   1645.56799      -11.5679998             772  0.997416019    
   1847.65527      -11.5679998             830   1.00000000    
   2049.74268      -11.5679998             760  0.998685956    
   2886.96167      -11.5679998             852  0.996491253    
